180,Car Fire W/Exp.,58
56,LINK - Link Control Center,62
57,Mutual Aid- Strike Team Lad,62
58,Tunnel Rescue,59
59,Tunnel Medic,56
60,Mutual Aid- Hazmat,57
61,Mutual Aid- Adv. Life,56
62,Tank Farm,62
63,Mutual Aid- Tech Res,56
64,Tanker Fire,58
65,ANTIB - Antibiotic Delivery,62
66,Automatic Aid Dist 11,62
67,Aircraft Standby,62
68,Rescue Confined Space,62
69,QAID- Quick Dispatch Aid Call,56
70,Automatic Fire Dist 11,62
71,MCI Major,62
72,Explosion Major,57
73,Help the Fire Fighter,62
74,Mutual Aid- Strike Eng.,62
75,Rescue Water Major,59
76,COMED Poss Patient,62
77,W1RED - 1  Unit,62
78,Train Derailment wFireHzmt,57
79,Tunnel Aid,56
80,Hazardous Material w/Fire,57
81,Quick Aid Response,56
82,Explosion Minor,57
83,Fire House Boat,58
84,Mutual Aid- Task Force,56
85,MUK9 - FIU CAPTAIN K9,62
86,Rescue Heavy Major,59
87,HazMat MCI,57
88,AFA4 - Auto Alarm 2 + 1 + 1,55
89,Dumpster Fire W/Exp.,58
90,Pier Fire,58
91,Hazardous Decon,57
92,Natural Gas Leak Major,57
93,Reduce Resp Opposite Tunnel,62
94,Mutual Aid- Ladder,56
95,Vault Fire (Electrical),58
96,Boat Taking Water Minr/Sho,59
97,Boat Fire In Marina,58
98,Water Job Major,62
99,Boat Under 50' Unknown,62
100,Boat Under 50' Fire Shore,58
101,Ship Fire 50'on Shore/Pier,58
102,Multiple Casualty Incident,61
103,Mutual Aid- Aid,56
104,Boat Under 50' Fire Water,58
105,RMC Chief,62
106,Drill,62
107,Multiple Medic Resp 14 Per,56
108,Brush Fire W/Exp.,58
109,temp Car Fire W/Exp.,58
110,Shed Fire,58
111,Assault w/Weapons 14,58
112,HAZADV - Hazmat Advised,57
113,Spill- Non-Hazmat,62
114,Rescue Rope,59
115,Garage Fire,58
116,Mutual Aid- Engine,56
117,Hazardous Mat- Spill-Leak,57
118,Furnace Problem,55
119,Tranformer Fire,58
120,Fire Response Freeway,58
121,HazMat Reduced,57
122,Hang-Up- Fire,58
123,Mutual Aid- Medic,56
124,Chempack Engine,62
125,Aid Service,56
126,Quick Dispatch Medic 7,56
127,TEST - MIS TEST,62
128,Food On The Stove Out,55
129,Rescue Automobile,59
130,Chimney Fire,58
131,Quick Dispatch Medic,56
132,Medic Response Freeway,56
133,Rescue Water,59
134,Food On The Stove,58
135,Natural Gas Leak,57
136,3RED - 1 +1 + 1,58
137,Dumpster Fire,58
138,Assault w/Weapons- Aid,61
139,Investigate In Service,62
140,Car Fire Freeway,58
141,Single Medic Unit,56
142,Fuel Spill,57
143,Wires Down,62
144,Aid Response Freeway,56
145,Bark Fire,58
146,Rescue Heavy,59
147,Brush Fire,58
148,Electrical Problem,55
149,Rubbish Fire,58
150,Fire in Single Family Res,58
151,Assault w/Weap 7 per Rule,61
152,Rescue Lock In/Out,59
153,Activated CO Detector,55
154,Fire in Building,58
155,4RED - 2 + 1 + 1,58
156,Unk Odor,55
157,EVENT - Special Event,62
158,Water Job Minor,62
159,Natural Gas Odor,55
160,Car Fire,58
161,Automatic Fire Alarm False,55
162,Alarm Bell,55
163,Illegal Burn,58
164,Hang-Up- Aid,56
165,Investigate Out Of Service,62
166,Medic Response- 6 per Rule,56
167,Motor Vehicle Accident Freeway,60
168,Rescue Elevator,59
169,1RED 1 Unit,58
170,Medic Response- 7 per Rule,56
171,Automatic Medical Alarm,56
172,Automatic Fire Alarm Resd,55
173,Aid Response Yellow,56
174,Motor Vehicle Accident,60
175,Trans to AMR,56
176,Auto Fire Alarm,55
177,Medic Response,56
178,Aid Response,56
